"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","name","artist","popularity"
"0.492","0.371","7","-8.934","1","0.143","0.557","0","0.11","0.709","172.14","195092","4","Lagu Tanpa Huruf R","Nadya Fatira","46"
"0.598","0.44","8","-10.233","1","0.0295","0.921","0.0634","0.118","0.158","97.01","208136","4","Berubah","Naif","51"
"0.711","0.392","9","-7.215","1","0.0342","0.206","0","0.192","0.789","113.97","259240","4","Yakin Bahagia","Maria Simorangkir","49"
"0.457","0.3","7","-13.989","1","0.0285","0.228","0.000344","0.177","0.155","143.786","240027","4","Crazy Over You","Rinni Wulandari","47"
"0.548","0.71","9","-5.613","1","0.0292","0.641","0","0.102","0.37","84.951","246272","4","Feliz Navidad - Recorded at Spotify Studios NYC","Why Don't We","58"
"0.791","0.768","2","-4.317","1","0.0526","0.349","0.00209","0.13","0.931","104.967","181921","4","Oh Holy Night - Recorded at Metropolis Studios, London","Nina Nesbitt","48"
"0.725","0.58","11","-5.422","0","0.0433","0.225","0","0.0779","0.66","133.974","148086","4","Santa Claus Is Comin' To Town - Recorded At Spotify Studios NYC","Tony Bennett","44"
"0.324","0.197","8","-10.191","1","0.0337","0.801","0","0.115","0.338","178.893","227887","3","White Christmas - Spotify Singles - Christmas, Recorded at Sound Stage Studios Nashville","Meghan Trainor","47"
"0.522","0.401","8","-10.963","1","0.0316","0.749","0","0.0993","0.468","110.772","166853","4","Christmas Time Is Here - Recorded at Sound Emporium Nashville","Devin Dawson","48"
"0.566","0.437","9","-10.13","1","0.0359","0.427","0.00000335","0.373","0.513","67.053","194312","4","Give Love on Christmas Day - Recorded at Spotify Studios NYC - Spotify Singles - Christmas","John Legend","46"
"0.431","0.195","5","-13.207","1","0.0518","0.802","0","0.0862","0.157","80.983","204347","3","Linus & Lucy - Recorded at Spotify Studios NYC","Anderson .Paak","43"
"0.614","0.218","0","-9.643","1","0.0343","0.924","0","0.111","0.357","140.013","225576","4","Christmas Must Be Tonight - Recorded at Spotify Studios NYC","Amy Helm","42"
"0.575","0.664","8","-8.541","1","0.0725","0.36","0.903","0.107","0.542","92.978","221165","4","Have Yourself A Merry Little Christmas (feat. Danielle Brooks) - Recorded At Spotify Studios NYC","Jon Batiste","42"
"0.605","0.514","2","-7.666","1","0.054","0.19","0.000862","0.102","0.51","135.24","239025","4","In the Bleak Midwinter - Recorded at Metropolis Studios, London","Fenne Lily","41"
"0.421","0.254","11","-13.759","1","0.0612","0.893","0.0000135","0.101","0.096","143.614","163367","1","Baby It's Cold Outside - Spotify Singles - Christmas, Recorded at Metropolis Studios, London","Paloma Faith","42"
"0.527","0.283","0","-14.154","1","0.0371","0.76","0.0000159","0.128","0.361","123.944","203747","4","Little Drummer Boy - Recorded at Spotify Studios NYC","Joan Jett & The Blackhearts","41"
"0.521","0.479","7","-7.065","1","0.0317","0.416","0","0.374","0.624","117.268","163763","4","El Burrito Sabanero - Recorded at Spotify Studios NYC","Aloe Blacc","40"
"0.676","0.82","8","-6.003","1","0.0326","0.000318","0.0221","0.074","0.411","129.476","232068","4","Oh My Christmas Tree - Recorded At Spotify Studios NYC","Jim James","39"
"0.689","0.667","11","-6.738","0","0.113","0.123","0","0.0951","0.856","149.935","184694","4","Last Christmas - Recorded At Metropolis Studios, London","Pale Waves","40"
"0.46","0.147","7","-9.444","1","0.0397","0.85","0","0.18","0.268","86.988","244295","3","Sleigh Ride - Recorded at Spotify Studios NYC","Miley Cyrus","61"
"0.352","0.748","2","-4.623","1","0.0341","0.0034","0","0.119","0.393","203.969","216547","4","It's Not Christmas 'Til You Come Home - Recorded At Spotify Studios NYC","Norah Jones","8"
"0.583","0.749","2","-8.286","1","0.0453","0.193","0","0.151","0.766","166.213","184953","4","Holiday Greeting","George Ezra","0"
"0.5","0.0699","0","-19.962","1","0.0344","0.903","0.00143","0.106","0.214","97.276","192421","3","White Christmas - Spotify Singles - Holiday, Recorded at Air Studios, London","George Ezra","65"
"0","0.166","10","-7.965","1","0","0.534","0","0.1","0","0","8875","0","Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC","Miley Cyrus","64"
"0.586","0.32","0","-12.788","1","0.0289","0.637","0.00202","0.128","0.437","115.808","192459","4","Holiday Greeting","Wolf Alice","0"
"0.602","0.713","10","-7.58","0","0.0351","0.041","0","0.27","0.796","141.987","116547","4","Santa Baby - Recorded at Strongroom Studios London","Wolf Alice","45"
"0","0.39","8","-10.816","0","0","0.717","0","0","0","0","4750","0","Happy Xmas (War Is Over) - Recorded at Spotify Studios NYC","Josh Groban","48"
"0.542","0.255","2","-10.157","1","0.0547","0.897","0","0.111","0.369","102.882","163741","4","Jingle Bells - Spotify Singles – Holiday, Recorded at Spotify Studios NYC","Wynton Marsalis","46"
"0.468","0.319","9","-10.286","1","0.0291","0.631","0","0.304","0.183","150.149","207248","3","In The Morning - Recorded At Spotify Studios NYC","Jack Johnson","7"
"0.494","0.434","0","-9.642","1","0.0536","0.56","0.00000198","0.13","0.66","181.774","155109","4","Christmas Eve - Recorded at Spotify Studios NYC","Kelly Clarkson","59"
"0.64","0.233","5","-11.843","1","0.0402","0.89","0.00000288","0.102","0.417","93.295","181467","4","I'll Be Home For Christmas - Recorded at Spotify Studios NYC","Demi Lovato","16"
"0.537","0.834","5","-8.76","1","0.083","0.0326","0","0.416","0.353","125.993","176425","4","Rudolph the Rednose Reindeer","DMX","58"
"0.437","0.261","8","-12.339","1","0.0298","0.794","0.000786","0.21","0.211","84.136","206160","4","River - Recorded At RAK Studios, London","Sam Smith","18"
"0.604","0.767","11","-11.031","0","0.0785","0.000144","0.0000489","0.174","0.513","189.907","96853","4","This Christmas - Recorded At Spotify Studios NYC","Lalah Hathaway","7"
"0.347","0.187","10","-11.369","1","0.0514","0.889","0.00000126","0.11","0.203","53.894","208573","4","Holiday Greeting","Fifth Harmony","0"
"0.445","0.145","5","-12.442","1","0.0442","0.972","0.00123","0.108","0.361","170.923","209605","4","Can You See - Spotify Singles - Holiday, Recorded at Spotify Studios NYC","Fifth Harmony","59"
"0","0.569","9","-7.342","1","0","0.866","0","0","0","0","4750","0","Holiday Greeting","Wyclef Jean","0"
"0.554","0.422","8","-10.761","1","0.0439","0.329","0.0000313","0.0986","0.3","99.676","242879","4","The Christmas Song - Spotify Singles - Holiday, Recorded at Spotify Studios NYC","Wyclef Jean","55"
"0","0.403","2","-13.608","1","0","0.925","0","0.124","0","0","10656","0","Wonderful Christmastime - Recorded at Spotify Studios NYC","Xavier Omär","45"
"0.5","0.326","1","-13.114","1","0.0467","0.612","0.0158","0.0966","0.16","78.058","176206","4","Last Christmas - Recorded at Spotify Studios NYC - Live","Yoke Lore","45"
"0.785","0.506","11","-9.468","1","0.0353","0.374","0.0717","0.156","0.504","120.032","186098","4","Holiday Greeting","Yoke Lore","0"
"0.725","0.381","2","-10.211","1","0.029","0.607","0.107","0.132","0.345","109.013","202333","4","Holiday Greeting","Janelle Kroll","0"
"0","0.223","11","-11.966","1","0","0.287","0","0","0","0","6875","0","Silent Night - Recorded at Spotify Studios NYC","Janelle Kroll","44"
"0","0.329","3","-7.527","1","0","0.877","0","0.327","0","0","10000","0","Fairytale of New York - Recorded at Spotify Studios NYC","Rostam","53"
"0.336","0.237","8","-13.466","1","0.0416","0.596","0.000579","0.122","0.059","86.413","263692","3","Neither Do I","Stwo","64"
"0.375","0.5","2","-8.506","1","0.0494","0.699","0","0.0879","0.238","118.69","254588","3","One","Solregn","3"
"0.812","0.398","9","-9.832","0","0.105","0.453","0.0000054","0.12","0.189","119.955","220000","4","Alibi (3 A.M.)","Empara Mi","43"
"0.243","0.176","4","-12.193","0","0.0321","0.238","0","0.179","0.103","175.7","136774","3","Cold War (Nick AM Remix)","Cautious Clay","47"
"0.354","0.241","6","-8.954","0","0.0438","0.868","0","0.11","0.289","61.968","229219","4","Worried","Tash","43"
"0.744","0.366","1","-12.699","0","0.379","0.714","0.187","0.126","0.43","125.997","234286","4","If It Ain't Me - Kubla Kahn Mix","ELEON","46"
"0.755","0.582","6","-6.613","0","0.0556","0.00228","0.0108","0.185","0.482","123.994","213882","4","Demons","EMK MLN","37"
"0.738","0.483","6","-7.024","0","0.109","0.236","0.0000666","0.0521","0.254","144.897","212560","4","Things Could Be Better","Steven Bamidele","44"
"0.718","0.399","10","-9.782","0","0.0409","0.252","0.00000251","0.13","0.152","124.901","110602","4","Take Time (feat. 24Hrs)","Roy Woods","56"
"0.333","0.311","11","-10.319","0","0.0329","0.236","0.0000427","0.0729","0.0962","108.727","239464","3","The Traveller","The Fedz","63"
"0.811","0.507","4","-8.636","0","0.0538","0.122","0.00000564","0.106","0.159","104.026","203763","4","This Way","Khalid","76"
"0.698","0.579","5","-6.03","1","0.0368","0.207","0","0.247","0.599","92.125","172499","4","No Stallin'","Shaé Universe","44"
"0.62","0.282","5","-10.533","0","0.0464","0.694","0","0.119","0.193","124.609","211205","3","Reflections ft. Lippi","Ian Ewing","2"
"0.446","0.521","1","-8.371","0","0.0548","0.518","0.0000144","0.118","0.528","92.025","273231","3","Bliss","alayna","50"
"0.803","0.451","6","-9.004","0","0.461","0.0667","0","0.385","0.383","134.88","227574","4","Keep Cool","Jada","47"
"0.571","0.377","9","-10.28","0","0.0483","0.41","0","0.157","0.483","133.756","228267","4","Something New (feat. Etta Bond)","SiR","36"
"0.599","0.458","11","-8.075","0","0.0777","0.316","0.000479","0.116","0.498","78.038","255126","4","On My Way","Jvck James","41"
"0.749","0.621","3","-7.181","1","0.103","0.115","0.148","0.291","0.38","149.991","229219","4","Here","Super Silly","2"
"0.528","0.644","11","-5.991","0","0.0433","0.055","0.00000737","0.105","0.363","130.008","214647","4","Waste Time","S-X","36"
"0.549","0.803","11","-4.228","1","0.103","0.255","0","0.0635","0.751","83.863","211056","4","Let Me Down","Jorja Smith","16"
"0.45","0.534","10","-6.766","0","0.113","0.574","0.000961","0.18","0.193","129.125","186582","4","Do You Need Me","Day Fly","38"
"0.547","0.504","5","-7.909","0","0.0478","0.779","0","0.155","0.155","119.895","188000","4","Take A Picture","SUB BLUE","33"
"0.563","0.461","10","-7.083","0","0.0402","0.353","0.00000459","0.111","0.218","122.544","180597","4","Don't Waste My Time","Zilo","40"
"0.661","0.426","11","-8.157","0","0.2","0.461","0","0.153","0.481","128.022","193907","4","Proud of Me (feat. Little Simz)","Mahalia","56"
"0.683","0.856","11","-3.108","0","0.0812","0.26","0.00000392","0.12","0.655","89.977","245799","4","Only Love","Wafia","43"
"0.659","0.673","4","-5.733","1","0.16","0.492","0.0000178","0.472","0.702","86.974","215862","4","Jenny","Mae Muller","48"
"0.731","0.397","6","-9.998","0","0.048","0.163","0","0.259","0.198","107.941","171520","4","Tongue Tied","WESLEE","47"
"0.712","0.539","3","-7.249","0","0.0432","0.609","0","0.0973","0.5","92.96","175484","4","Unusual-Self","K. Forest","40"
"0.674","0.491","5","-7.551","1","0.067","0.0527","0.0000296","0.118","0.677","69.04","213913","4","Desire (feat. Goldchain)","Sylo Nozra","38"
"0.708","0.566","0","-10.026","1","0.0445","0.609","0.133","0.0844","0.878","159.992","300826","4","Lose Love","XamVolo","40"
"0.799","0.322","7","-10.921","0","0.123","0.165","0.00000872","0.115","0.451","83.997","220714","4","Zero-Sum","JJ Draper","1"
"0.724","0.356","10","-8.078","0","0.0556","0.578","0.0000405","0.0898","0.487","95.059","223080","4","Don't Make Me","Jesse James Solomon","41"
"0.598","0.449","1","-10.184","1","0.0435","0.878","0.619","0.132","0.301","85.98","223354","4","A Better World / The Times They Are A Changin'","snny","41"
"0.924","0.354","11","-9.773","0","0.0423","0.0378","0.0507","0.104","0.271","104.997","269623","4","Nia","Matt Blvck","49"
"0.712","0.54","4","-7.487","0","0.141","0.067","0","0.239","0.299","81.954","262032","4","Clogged Veins","Asch","36"
"0.724","0.316","2","-12.144","0","0.209","0.126","0","0.229","0.24","137.762","230953","4","Nobody On Jupiter","Jesse Boykins III","2"
"0.649","0.386","9","-11.672","0","0.261","0.894","0.0316","0.101","0.134","80.945","217783","5","Bad Habit","Jay Newton","5"
"0.406","0.415","8","-9.945","0","0.0916","0.611","0.0000305","0.102","0.15","141.103","223453","4","Karma","Elyah","36"
"0.564","0.535","8","-5.198","0","0.029","0.109","0","0.249","0.652","84.118","150302","4","nina","anaïs","3"
"0.374","0.462","11","-9.002","0","0.0721","0.824","0.000945","0.384","0.111","100.466","218258","4","Backbone","SORIANO","39"
"0.436","0.487","5","-5.571","1","0.121","0.647","0.00000179","0.817","0.521","141.489","225725","5","tDS (Surf)","Vicktor Taiwò","18"
"0.782","0.488","1","-8.639","1","0.151","0.642","0.011","0.11","0.349","77.028","174545","4","Above Water","The Code","32"
"0.747","0.402","5","-9.249","0","0.108","0.371","0.000137","0.132","0.488","83.991","205773","4","Silhouette","Grace Carter","17"
"0.502","0.446","2","-9.644","0","0.401","0.224","0.0000225","0.128","0.149","186.861","163527","4","Already Won","Kehlani","52"
"0.732","0.163","6","-6.021","0","0.0293","0.942","0","0.123","0.254","94.972","223507","4","On Your Own","Jorja Smith","44"
"0.511","0.794","1","-3.854","0","0.268","0.246","0","0.161","0.625","119.791","164165","5","New Religion","MAAD","36"
"0.532","0.548","6","-7.21","0","0.0327","0.00158","0.0105","0.096","0.0734","78.712","241975","4","Levee (Let it Break)","Tiana Major9","44"
"0.54","0.623","10","-7.309","1","0.314","0.291","0.00000169","0.134","0.29","84.023","192407","4","Rockets (feat. Moe Moks)","LION BABE","60"
"0.639","0.594","1","-9.303","1","0.0443","0.422","0","0.109","0.433","94.013","216373","4","Daylight (feat. Kojey Radical)","Bobii Lewis","32"
"0.677","0.658","8","-5.149","1","0.0699","0.15","0","0.155","0.874","134.086","217387","4","Flexin With My Girl","Jaystar","29"
"0.564","0.674","6","-6.263","1","0.292","0.457","0","0.0662","0.557","79.959","222000","4","Waiting For You","Angel","32"
"0.705","0.415","0","-11.335","1","0.751","0.456","0","0.0639","0.796","129.935","158801","4","Yellow Dust","Miink","34"
"0.582","0.722","11","-4.493","1","0.0855","0.112","0","0.135","0.243","129.958","262499","4","Southside","NSTASIA","35"
"0.662","0.407","6","-8.287","1","0.0339","0.536","0.0211","0.237","0.272","89.028","233235","4","Curve","Kara Marni","48"
"0.727","0.574","0","-7.103","1","0.151","0.681","0.000156","0.117","0.358","81.008","213999","4","Egyptian Luvr (feat. Aminé and Dana Williams)","Rejjie Snow","49"
"0.781","0.564","9","-6.801","0","0.0433","0.244","0.00000209","0.073","0.562","106.657","224218","4","Nothing Wrong","Angel","36"
"0.834","0.591","10","-7.543","0","0.305","0.0553","0","0.074","0.9","104.944","256613","4","Think It's Me","S-X","33"
"0.542","0.45","8","-9.249","1","0.057","0.0233","0.00000341","0.139","0.505","144.855","289933","4","Cherish","Shay Lia","36"
"0.471","0.803","8","-3.412","0","0.386","0.649","0.000159","0.109","0.565","137.846","198566","4","Worry About Me","Joel Baker","2"
"0.715","0.231","4","-18.585","1","0.0546","0.125","0.8","0.105","0.164","139.993","208612","4","Check (with RAYE)","Kojo Funds","64"
"0.615","0.626","0","-6.909","0","0.344","0.308","0","0.126","0.647","80.724","203316","4","Love Outro","Mar","29"
"0.41","0.718","3","-6.295","0","0.126","0.21","0","0.079","0.57","94.332","215573","4","Golden","Kara Marni","39"
"0","0.25","9","-17.135","0","0","0.64","0.277","0.108","0","0","126869","0","Sofa","Collard","1"
"0.668","0.633","7","-6.258","0","0.106","0.189","0.00000232","0.238","0.373","91","226813","4","Blood Kisses","Fabian Secon","32"
"0.624","0.274","11","-14.469","0","0.0718","0.342","0.381","0.11","0.0727","125.9","215950","4","Pretty Boys","Kasai","44"
"0.752","0.351","10","-11.225","0","0.0532","0.103","0.0241","0.108","0.26","132.021","153809","4","Unavailable Love","Brinx","29"
"0.75","0.651","0","-4.649","0","0.206","0.163","0.00000628","0.294","0.733","85.957","196608","4","Maybe","Gabriella Vixen","29"
"0.778","0.49","7","-8.043","1","0.0593","0.00607","0.0000679","0.111","0.491","105.997","129123","4","Wait On Me","Gemaine","27"
"0.717","0.859","0","-2.502","1","0.0692","0.328","0","0.148","0.803","93.081","169404","4","Finer Things","Khalil Devonne","46"
"0.396","0.531","1","-5.876","1","0.199","0.159","0.00000161","0.137","0.293","83.124","236000","3","Haze","Fabian Secon","41"
"0.714","0.689","11","-7.02","0","0.0827","0.0458","0","0.111","0.642","139.923","165527","4","Black Is Beauty (Daughters)","Azekel","1"
"0.764","0.702","1","-6.954","1","0.0283","0.103","0.00462","0.0666","0.639","122.004","240065","4","Tepid Soul","Poppy Ajudha","31"
"0.403","0.391","9","-11.501","0","0.0639","0.844","0.0324","0.17","0.605","95.877","265800","4","Love Just Ain't Enough","Kara Marni","37"
"0.575","0.497","11","-8.592","0","0.0449","0.0943","0.0000298","0.0948","0.423","93.625","227510","4","SUMMERTIME","Ne-Yo","47"
"0.699","0.654","3","-5.682","0","0.0742","0.00658","0.0000393","0.0713","0.512","103.03","216575","4","Wasted","Salma Slims","30"
"0.632","0.715","9","-6.934","0","0.0649","0.0245","0.22","0.083","0.599","170.058","174931","4","Bloom - Recorded At Spotify Studios NYC","Troye Sivan","56"
"0.754","0.405","5","-11.436","0","0.119","0.101","0","0.0851","0.292","109.032","219588","4","2002 - Recorded at Metropolis Studios, London","Anne-Marie","61"
"0.496","0.409","0","-10.495","1","0.0659","0.352","0","0.12","0.7","85.332","221504","5","Attention - Recorded at Spotify Studios NYC","Charlie Puth","61"
"0.586","0.411","4","-6.047","1","0.219","0.702","0","0.201","0.798","92.598","192147","4","Sexual - Recorded at Spotify Studios NYC","Zara Larsson","62"
"0.716","0.179","0","-12.142","0","0.132","0.913","0","0.122","0.405","98.012","222270","4","Fresh Eyes - Recorded at Spotify Studios NYC","Andy Grammer","40"
"0.699","0.435","1","-6.891","1","0.111","0.578","0","0.0884","0.45","110.288","189057","4","Tell Me You Love Me - Recorded at Spotify Studios NYC","Demi Lovato","7"
"0.792","0.508","7","-8.549","1","0.0402","0.424","0","0.353","0.403","122.085","196127","4","Drama - Recorded at Spotify Studios NYC","AJR","46"
"0.592","0.44","3","-10.517","0","0.0401","0.26","0","0.375","0.388","81.97","247347","4","Castle on the Hill- Recorded at Spotify Studios NYC","Ed Sheeran","64"
"0.652","0.507","2","-9.555","1","0.118","0.22","0","0.116","0.477","156.009","209490","4","Bad Mood - Recorded at Spotify Studios NYC","Miley Cyrus","47"
"0.556","0.355","2","-6.416","1","0.0398","0.581","0","0.118","0.644","147.58","225791","4","Better Now - Recorded At Spotify Studios NYC","Troye Sivan","60"
"0.54","0.595","10","-7.83","0","0.0347","0.152","0","0.148","0.53","154.067","180387","4","He Like That - Recorded at Spotify Studios NYC","Fifth Harmony","50"
"0.669","0.563","7","-8.37","1","0.0334","0.269","0","0.114","0.487","130.01","230307","4","I Like Me Better - Recorded at Spotify Studios NYC","Lauv","59"
"0.562","0.542","0","-8.23","1","0.0566","0.00334","0","0.0959","0.59","147.067","217571","4","Little Bit - Recorded at Spotify Studios NYC","Timeflies","46"
"0.454","0.151","9","-13.444","1","0.06","0.777","0","0.0792","0.362","90.187","202685","4","...Baby One More Time - Recorded at Spotify Studios NYC","Ed Sheeran","69"
"0.546","0.374","11","-7.09","1","0.465","0.268","0","0.107","0.62","66.799","146759","3","Super Far - Spotify Studios NYC","LANY","52"
"0.792","0.307","11","-6.224","0","0.0522","0.189","0","0.0834","0.631","104.511","177215","4","Delicate - Recorded at The Tracking Room Nashville","Taylor Swift","59"
"0.732","0.32","8","-11.778","1","0.0808","0.228","0.0000136","0.0827","0.0946","81.995","236054","4","Feel It Still - Recorded at Spotify Studios NYC","Portugal. The Man","54"
"0.664","0.447","0","-8.404","1","0.0341","0.577","0","0.0968","0.431","90.976","228461","4","All Time Low - Recorded at Spotify Studios NYC","Andy Grammer","51"
"0.746","0.511","6","-8.748","0","0.0508","0.197","0.00202","0.0589","0.865","158.007","169440","4","Broccoli - Recorded at Spotify Studios NYC","Cheat Codes","47"
"0.718","0.59","6","-5.67","0","0.0671","0.442","0","0.198","0.505","94.031","185980","4","Buy U A Drank - Recorded at Spotify Studios NYC","MAX","49"
"0.884","0.443","3","-7.429","1","0.109","0.715","0","0.137","0.67","149.965","163224","4","So Good - Recorded at Spotify Studios NYC","Zara Larsson","51"
"0.819","0.695","11","-6.885","0","0.101","0.0807","0","0.169","0.826","104.029","163399","4","Love Me Now - Recorded at Spotify Studios NYC","John Legend","60"
"0.459","0.42","2","-8.508","0","0.328","0.468","0","0.0894","0.705","81.764","161448","4","Don't Matter - Recorded at Spotify Studios NYC","Lauv","62"
"0.508","0.233","8","-8.311","1","0.0535","0.975","0","0.111","0.421","85.543","228507","3","cool girl - Recorded at Spotify Studios, NYC / 2016","Tove Lo","49"
"0.573","0.333","10","-10.763","1","0.406","0.322","0","0.076","0.397","75.919","189725","4","Fool's Gold - Recorded At RAK Studios, London","Niall Horan","56"
"0.694","0.508","0","-6.425","1","0.0465","0.696","0","0.0993","0.541","103.914","204255","4","I Don't Wanna Know - Recorded at Spotify Studios NYC","Charlie Puth","57"
"0.575","0.192","6","-11.896","1","0.0341","0.938","0","0.107","0.615","128.043","204295","4","Shout Out to My Ex - Recorded at Spotify Studios NYC","Little Mix","51"
"0.431","0.0748","11","-13.615","0","0.0516","0.98","0.00000324","0.114","0.367","98.188","215882","4","Location - Recorded at Spotify Studios NYC","AJR","61"
"0.455","0.434","5","-5.637","1","0.103","0.756","0","0.106","0.379","71.31","163387","4","Don't Stay - Recorded At Spotify Studios NYC","X Ambassadors","48"
